crim,rm,age,dis,rad,lstat,medv
0.15445,6.145,29.2,7.8148,8,6.86,23.3
0.10328,5.927,47.2,6.932,8,9.22,19.6
0.14932,5.741,66.2,7.2254,8,13.15,18.7
0.17171,5.966,93.4,6.8185,8,14.44,16
0.11027,6.456,67.8,7.2255,8,6.73,22.2
0.1265,6.762,43.4,7.9809,8,9.5,25
0.01951,7.104,59.5,9.2229,3,8.05,33
0.03584,6.29,17.8,6.6115,4,4.67,23.5
0.04379,5.787,31.1,6.6115,4,10.24,19.4
0.05789,5.878,21.4,6.498,4,8.1,22
0.13554,5.594,36.8,6.498,4,13.09,17.4
0.12816,5.885,33,6.498,4,8.79,20.9
0.08826,6.417,6.6,5.2873,4,6.72,24.2
0.15876,5.961,17.5,5.2873,4,9.88,21.7
0.09164,6.065,7.8,5.2873,4,5.52,22.8
0.19539,6.245,6.2,5.2873,4,7.54,23.4
0.07896,6.273,6,4.2515,5,6.78,24.1
0.09512,6.286,45,4.5026,5,8.94,21.4
0.10153,6.279,74.5,4.0522,5,11.97,20
0.08707,6.14,45.8,4.0905,5,10.27,20.8
0.05646,6.232,53.7,5.0141,5,12.34,21.2
0.08387,5.874,36.6,4.5026,5,9.1,20.3
0.04113,6.727,33.5,5.4007,4,5.29,28
0.04462,6.619,70.4,5.4007,4,7.22,23.9
0.03659,6.302,32.2,5.4007,4,6.72,24.8
0.03551,6.167,46.7,5.4007,4,7.51,22.9
0.05059,6.389,48,4.7794,3,9.62,23.9
0.05735,6.63,56.1,4.4377,3,6.53,26.6
0.05188,6.015,45.1,4.4272,3,12.86,22.5
0.07151,6.121,56.8,3.7476,3,8.44,22.2
0.0566,7.007,86.3,3.4217,2,5.5,23.6
0.05302,7.079,63.1,3.4145,2,5.7,28.7
0.04684,6.417,66.1,3.0923,2,8.81,22.6
0.03932,6.405,73.9,3.0921,2,8.2,22
0.04203,6.442,53.6,3.6659,4,8.16,22.9
0.02875,6.211,28.9,3.6659,4,6.21,25
0.04294,6.249,77.3,3.615,4,10.59,20.6
0.12204,6.625,57.8,3.4952,2,6.65,28.4
0.11504,6.163,69.6,3.4952,2,11.34,21.4
0.12083,8.069,76,3.4952,2,4.21,38.7
0.08187,7.82,36.9,3.4952,2,3.57,43.8
0.0686,7.416,62.5,3.4952,2,6.19,33.2
0.14866,6.727,79.9,2.7778,5,9.42,27.5
0.11432,6.781,71.3,2.8561,5,7.67,26.5
0.22876,6.405,85.4,2.7147,5,10.63,18.6
0.21161,6.137,87.4,2.7147,5,13.44,19.3
0.1396,6.167,90,2.421,5,12.33,20.1
0.13262,5.851,96.7,2.1069,5,16.47,19.5
0.1712,5.836,91.9,2.211,5,18.66,19.5
0.13117,6.127,85.2,2.1224,5,14.09,20.4
0.12802,6.474,97.1,2.4329,5,12.27,19.8
0.26363,6.229,91.2,2.5451,5,15.55,19.4
0.10793,6.195,54.4,2.7778,5,13,21.7
0.10084,6.715,81.6,2.6775,6,10.16,22.8
0.12329,5.913,92.9,2.3534,6,16.21,18.8
0.22212,6.092,95.4,2.548,6,17.09,18.7
0.14231,6.254,84.2,2.2565,6,10.45,18.5
0.17134,5.928,88.2,2.4631,6,15.76,18.3
0.13158,6.176,72.5,2.7301,6,12.04,21.2
0.15098,6.021,82.6,2.7474,6,10.3,19.2
0.13058,5.872,73.1,2.4775,6,15.37,20.4
0.14476,5.731,65.2,2.7592,6,13.61,19.3
0.06899,5.87,69.7,2.2577,2,14.37,22
0.07165,6.004,84.1,2.1974,2,14.27,20.3
0.09299,5.961,92.9,2.0869,2,17.93,20.5
0.15038,5.856,97,1.9444,2,25.41,17.3
0.09849,5.879,95.8,2.0063,2,17.58,18.8
0.16902,5.986,88.4,1.9929,2,14.81,21.4
0.38735,5.613,95.6,1.7572,2,27.26,15.7
0.25915,5.693,96,1.7883,4,17.19,16.2
0.32543,6.431,98.8,1.8125,4,15.39,18
0.88125,5.637,94.7,1.9799,4,18.34,14.3
0.34006,6.458,98.9,2.1185,4,12.6,19.2
1.19294,6.326,97.7,2.271,4,12.26,19.6
0.59005,6.372,97.9,2.3274,4,11.12,23
0.32982,5.822,95.4,2.4699,4,15.03,18.4
0.97617,5.757,98.4,2.346,4,17.31,15.6
0.55778,6.335,98.2,2.1107,4,16.96,18.1
0.32264,5.942,93.5,1.9669,4,16.9,17.4
0.35233,6.454,98.4,1.8498,4,14.59,17.1
0.2498,5.857,98.2,1.6686,4,21.32,13.3
0.54452,6.151,97.9,1.6687,4,18.46,17.8
0.2909,6.174,93.6,1.6119,4,24.16,14
1.62864,5.019,100,1.4394,4,34.41,14.4
3.32105,5.403,100,1.3216,5,26.82,13.4
4.0974,5.468,100,1.4118,5,26.42,15.6
2.77974,4.903,97.8,1.3459,5,29.29,11.8
2.37934,6.13,100,1.4191,5,27.8,13.8
2.15505,5.628,100,1.5166,5,16.65,15.6
2.36862,4.926,95.7,1.4608,5,29.53,14.6
2.33099,5.186,93.8,1.5296,5,28.32,17.8
2.73397,5.597,94.9,1.5257,5,21.45,15.4
1.6566,6.122,97.3,1.618,5,14.1,21.5
1.49632,5.404,100,1.5916,5,13.28,19.6
1.12658,5.012,88,1.6102,5,12.12,15.3
2.14918,5.709,98.5,1.6232,5,15.79,19.4
1.41385,6.129,96,1.7494,5,15.12,17
3.53501,6.152,82.6,1.7455,5,15.02,15.6
2.44668,5.272,94,1.7364,5,16.14,13.1
1.22358,6.943,97.4,1.8773,5,4.59,41.3
1.34284,6.066,100,1.7573,5,6.43,24.3
1.42502,6.51,100,1.7659,5,7.39,23.3
1.27346,6.25,92.6,1.7984,5,5.5,27
1.46336,7.489,90.8,1.9709,5,1.73,50
1.83377,7.802,98.2,2.0407,5,1.92,50
1.51902,8.375,93.9,2.162,5,3.32,50
2.24236,5.854,91.8,2.422,5,11.64,22.7
2.924,6.101,93,2.2834,5,9.81,25
2.01019,7.929,96.2,2.0459,5,3.7,50
1.80028,5.877,79.2,2.4259,5,12.14,23.8
2.3004,6.319,96.1,2.1,5,11.1,23.8
2.44953,6.402,95.2,2.2625,5,11.32,22.3
1.20742,5.875,94.6,2.4259,5,14.43,17.4
2.3139,5.88,97.3,2.3887,5,12.03,19.1
0.13914,5.572,88.5,2.5961,5,14.69,23.1
0.09178,6.416,84.1,2.6463,5,9.04,23.6
0.08447,5.859,68.7,2.7019,5,9.64,22.6
0.06664,6.546,33.1,3.1323,5,5.33,29.4
0.07022,6.02,47.2,3.5549,5,10.11,23.2
0.05425,6.315,73.4,3.3175,5,6.29,24.6
0.06642,6.86,74.4,2.9153,5,6.92,29.9
0.0578,6.98,58.4,2.829,3,5.04,37.2
0.06588,7.765,83.3,2.741,3,7.56,39.8
0.06888,6.144,62.2,2.5979,3,9.45,36.2
0.09103,7.155,92.2,2.7006,3,4.82,37.9
0.10008,6.563,95.6,2.847,3,5.68,32.5
0.08308,5.604,89.8,2.9879,3,13.98,26.4
0.06047,6.153,68.8,3.2797,3,13.15,29.6
0.05602,7.831,53.6,3.1992,3,4.45,50
0.07875,6.782,41.1,3.7886,5,6.68,32
0.12579,6.556,29.1,4.5667,5,4.56,29.8
0.0837,7.185,38.9,4.5667,5,5.39,34.9
0.09068,6.951,21.5,6.4798,5,5.1,37
0.06911,6.739,30.8,6.4798,5,4.69,30.5
0.08664,7.178,26.3,6.4798,5,2.87,36.4
0.02187,6.8,9.9,6.2196,1,5.03,31.1
0.01439,6.604,18.8,6.2196,1,4.38,29.1
0.01381,7.875,32,5.6484,4,2.97,50
0.04011,7.287,34.1,7.309,2,4.08,33.3
0.04666,7.107,36.6,7.309,2,8.61,30.3
0.03768,7.274,38.3,7.309,2,6.62,34.6
0.0315,6.975,15.3,7.6534,3,4.56,34.9
0.01778,7.135,13.9,7.6534,3,4.45,32.9
0.03445,6.162,38.4,6.27,2,7.43,24.1
0.02177,7.61,15.7,6.27,2,3.11,42.3
0.0351,7.853,33.2,5.118,4,3.81,48.5
0.02009,8.034,31.9,5.118,4,2.88,50
0.13642,5.891,22.3,3.9454,4,10.87,22.6
0.22969,6.326,52.5,4.3549,4,10.97,24.4
0.25199,5.783,72.7,4.3549,4,18.06,22.5
0.13587,6.064,59.1,4.2392,4,14.66,24.4
0.43571,5.344,100,3.875,4,23.09,20
0.17446,5.96,92.1,3.8771,4,17.27,21.7
0.37578,5.404,88.6,3.665,4,23.98,19.3
0.21719,5.807,53.8,3.6526,4,16.03,22.4
0.14052,6.375,32.3,3.9454,4,9.38,28.1
0.28955,5.412,9.8,3.5875,4,29.55,23.7
0.19802,6.182,42.4,3.9454,4,9.47,25
0.0456,5.888,56,3.1121,5,13.51,23.3
0.07013,6.642,85.1,3.4211,5,9.69,28.7
0.11069,5.951,93.8,2.8893,5,17.92,21.5
0.11425,6.373,92.4,3.3633,5,10.5,23
0.35809,6.951,88.5,2.8617,8,9.71,26.7
0.40771,6.164,91.3,3.048,8,21.46,21.7
0.62356,6.879,77.7,3.2721,8,9.93,27.5
0.6147,6.618,80.8,3.2721,8,7.6,30.1
0.31533,8.266,78.3,2.8944,8,4.14,44.8
0.52693,8.725,83,2.8944,8,4.63,50
0.38214,8.04,86.5,3.2157,8,3.13,37.6
0.41238,7.163,79.9,3.2157,8,6.36,31.6
0.29819,7.686,17,3.3751,8,3.92,46.7
0.44178,6.552,21.4,3.3751,8,3.76,31.5
0.537,5.981,68.1,3.6715,8,11.65,24.3
0.46296,7.412,76.9,3.6715,8,5.25,31.7
0.57529,8.337,73.3,3.8384,8,2.47,41.7
0.33147,8.247,70.4,3.6519,8,3.95,48.3
0.44791,6.726,66.5,3.6519,8,8.05,29
0.33045,6.086,61.5,3.6519,8,10.88,24
0.52058,6.631,76.5,4.148,8,9.54,25.1
0.51183,7.358,71.6,4.148,8,4.73,31.5
0.08244,6.481,18.5,6.1899,6,6.36,23.7
0.09252,6.606,42.2,6.1899,6,7.37,23.3
0.11329,6.897,54.3,6.3361,6,11.38,22
0.10612,6.095,65.1,6.3361,6,12.4,20.1
0.1029,6.358,52.9,7.0355,6,11.22,22.2
0.12757,6.393,7.8,7.0355,6,5.19,23.7
0.20608,5.593,76.5,7.9549,7,12.5,17.6
0.19133,5.605,70.2,7.9549,7,18.46,18.5
0.33983,6.108,34.9,8.0555,7,9.16,24.3
0.19657,6.226,79.2,8.0555,7,10.15,20.5
0.16439,6.433,49.1,7.8265,7,9.52,24.5
0.19073,6.718,17.5,7.8265,7,6.56,26.2
0.1403,6.487,13,7.3967,7,5.9,24.4
0.21409,6.438,8.9,7.3967,7,3.59,24.8
0.08221,6.957,6.8,8.9067,7,3.53,29.6
0.36894,8.259,8.4,8.9067,7,3.54,42.8
0.04819,6.108,32,9.2203,1,6.57,21.9
0.03548,5.876,19.1,9.2203,1,9.25,20.9
0.01538,7.454,34.2,6.3361,3,3.11,44
0.61154,8.704,86.9,1.801,5,5.12,50
0.66351,7.333,100,1.8946,5,7.79,36
0.65665,6.842,100,2.0107,5,6.9,30.1
0.54011,7.203,81.8,2.1121,5,9.59,33.8
0.53412,7.52,89.4,2.1398,5,7.26,43.1
0.52014,8.398,91.5,2.2885,5,5.91,48.8
0.82526,7.327,94.5,2.0788,5,11.25,31
0.55007,7.206,91.6,1.9301,5,8.1,36.5
0.76162,5.56,62.8,1.9865,5,10.45,22.8
0.7857,7.014,84.6,2.1329,5,14.79,30.7
0.57834,8.297,67,2.4216,5,7.44,50
0.5405,7.47,52.6,2.872,5,3.16,43.5
0.09065,5.92,61.5,3.9175,3,13.65,20.7
0.29916,5.856,42.1,4.429,3,13,21.1
0.16211,6.24,16.3,4.429,3,6.59,25.2
0.1146,6.538,58.7,3.9175,3,7.73,24.4
0.22188,7.691,51.8,4.3665,3,6.58,35.2
0.05644,6.758,32.9,4.0776,4,3.53,32.4
0.09604,6.854,42.8,4.2673,4,2.98,32
0.10469,7.267,49,4.7872,4,6.05,33.2
0.06127,6.826,27.6,4.8628,4,4.16,33.1
0.07978,6.482,32.1,4.1403,4,7.19,29.1
0.21038,6.812,32.2,4.1007,5,4.85,35.1
0.03578,7.82,64.5,4.6947,5,3.76,45.4
0.03705,6.968,37.2,5.2447,5,4.59,35.4
0.06129,7.645,49.7,5.2119,5,3.01,46
0.01501,7.923,24.8,5.885,1,3.16,50
0.00906,7.088,20.8,7.3073,1,7.85,32.2
0.01096,6.453,31.9,7.3073,1,8.23,22
0.01965,6.23,31.5,9.0892,1,12.93,20.1
0.03871,6.209,31.3,7.3172,6,7.14,23.2
0.0459,6.315,45.6,7.3172,6,7.6,22.3
0.04297,6.565,22.9,7.3172,6,9.51,24.8
0.03502,6.861,27.9,5.1167,4,3.33,28.5
0.07886,7.148,27.7,5.1167,4,3.56,37.3
0.03615,6.63,23.4,5.1167,4,4.7,27.9
0.08265,6.127,18.4,5.5027,4,8.58,23.9
0.08199,6.009,42.3,5.5027,4,10.4,21.7
0.12932,6.678,31.1,5.9604,4,6.27,28.6
0.05372,6.549,51,5.9604,4,7.39,27.1
0.14103,5.79,58,6.32,4,15.84,20.3
0.06466,6.345,20.1,7.8278,5,4.97,22.5
0.05561,7.041,10,7.8278,5,4.74,29
0.04417,6.871,47.4,7.8278,5,6.07,24.8
0.03537,6.59,40.4,5.4917,7,9.5,22
0.09266,6.495,18.4,5.4917,7,8.67,26.4
0.1,6.982,17.7,5.4917,7,4.86,33.1
0.05515,7.236,41.1,4.022,7,6.93,36.1
0.05479,6.616,58.1,3.37,7,8.93,28.4
0.07503,7.42,71.9,3.0992,7,6.47,33.4
0.04932,6.849,70.3,3.1827,7,7.53,28.2
0.49298,6.635,82.5,3.3175,4,4.54,22.8
0.3494,5.972,76.7,3.1025,4,9.97,20.3
2.63548,4.973,37.8,2.5194,4,12.64,16.1
0.79041,6.122,52.8,2.6403,4,5.98,22.1
0.26169,6.023,90.4,2.834,4,11.72,19.4
0.26938,6.266,82.8,3.2628,4,7.9,21.6
0.3692,6.567,87.3,3.6023,4,9.28,23.8
0.25356,5.705,77.7,3.945,4,11.5,16.2
0.31827,5.914,83.2,3.9986,4,18.33,17.8
0.24522,5.782,71.7,4.0317,4,15.94,19.8
0.40202,6.382,67.2,3.5325,4,10.36,23.1
0.47547,6.113,58.8,4.0019,4,12.73,21
0.1676,6.426,52.3,4.5404,5,7.2,23.8
0.18159,6.376,54.3,4.5404,5,6.87,23.1
0.35114,6.041,49.9,4.7211,5,7.7,20.4
0.28392,5.708,74.3,4.7211,5,11.74,18.5
0.34109,6.415,40.1,4.7211,5,6.12,25
0.19186,6.431,14.7,5.4159,5,5.08,24.6
0.30347,6.312,28.9,5.4159,5,6.15,23
0.24103,6.083,43.7,5.4159,5,12.79,22.2
0.06617,5.868,25.8,5.2146,4,9.97,19.3
0.06724,6.333,17.2,5.2146,4,7.34,22.6
0.04544,6.144,32.2,5.8736,4,9.09,19.8
0.05023,5.706,28.4,6.6407,1,12.43,17.1
0.03466,6.031,23.3,6.6407,1,7.83,19.4
0.05083,6.316,38.1,6.4584,5,5.68,22.2
0.03738,6.31,38.5,6.4584,5,6.75,20.7
0.03961,6.037,34.5,5.9853,5,8.01,21.1
0.03427,5.869,46.3,5.2311,5,9.8,19.5
0.03041,5.895,59.6,5.615,5,10.56,18.5
0.03306,6.059,37.3,4.8122,5,8.51,20.6
0.05497,5.985,45.4,4.8122,5,9.74,19
0.06151,5.968,58.5,4.8122,5,9.29,18.7
0.01301,7.241,49.3,7.0379,1,5.49,32.7
0.02498,6.54,59.7,6.2669,1,8.65,16.5
0.02543,6.696,56.4,5.7321,5,7.18,23.9
0.03049,6.874,28.1,6.4654,5,4.61,31.2
0.03113,6.014,48.5,8.0136,3,10.53,17.5
0.06162,5.898,52.3,8.0136,3,12.67,17.2
0.0187,6.516,27.7,8.5353,4,6.36,23.1
0.01501,6.635,29.7,8.344,4,5.99,24.5
0.02899,6.939,34.5,8.7921,1,5.89,26.6
0.06211,6.49,44.4,8.7921,1,5.98,22.9
0.0795,6.579,35.9,10.7103,4,5.49,24.1
0.07244,5.884,18.5,10.7103,4,7.79,18.6
0.01709,6.728,36.1,12.1265,5,4.5,30.1
0.04301,5.663,21.9,10.5857,4,8.05,18.2
0.10659,5.936,19.5,10.5857,4,5.57,20.6
8.98296,6.212,97.4,2.1222,24,17.6,17.8
3.8497,6.395,91,2.5052,24,13.27,21.7
5.20177,6.127,83.4,2.7227,24,11.48,22.7
4.26131,6.112,81.3,2.5091,24,12.67,22.6
4.54192,6.398,88,2.5182,24,7.79,25
3.83684,6.251,91.1,2.2955,24,14.19,19.9
3.67822,5.362,96.2,2.1036,24,10.19,20.8
4.22239,5.803,89,1.9047,24,14.64,16.8
3.47428,8.78,82.9,1.9047,24,5.29,21.9
4.55587,3.561,87.9,1.6132,24,7.12,27.5
3.69695,4.963,91.4,1.7523,24,14,21.9
13.5222,3.863,100,1.5106,24,13.33,23.1
4.89822,4.97,100,1.3325,24,3.26,50
5.66998,6.683,96.8,1.3567,24,3.73,50
6.53876,7.016,97.5,1.2024,24,2.96,50
9.2323,6.216,100,1.1691,24,9.53,50
8.26725,5.875,89.6,1.1296,24,8.88,50
11.1081,4.906,100,1.1742,24,34.77,13.8
18.4982,4.138,100,1.137,24,37.97,13.8
19.6091,7.313,97.9,1.3163,24,13.44,15
15.288,6.649,93.3,1.3449,24,23.24,13.9
9.82349,6.794,98.8,1.358,24,21.24,13.3
23.6482,6.38,96.2,1.3861,24,23.69,13.1
17.8667,6.223,100,1.3861,24,21.78,10.2
88.9762,6.968,91.9,1.4165,24,17.21,10.4
15.8744,6.545,99.1,1.5192,24,21.08,10.9
9.18702,5.536,100,1.5804,24,23.6,11.3
7.99248,5.52,100,1.5331,24,24.56,12.3
20.0849,4.368,91.2,1.4395,24,30.63,8.8
16.8118,5.277,98.1,1.4261,24,30.81,7.2
24.3938,4.652,100,1.4672,24,28.28,10.5
22.5971,5,89.5,1.5184,24,31.99,7.4
14.3337,4.88,100,1.5895,24,30.62,10.2
8.15174,5.39,98.9,1.7281,24,20.85,11.5
6.96215,5.713,97,1.9265,24,17.11,15.1
5.29305,6.051,82.5,2.1678,24,18.76,23.2
11.5779,5.036,97,1.77,24,25.68,9.7
8.64476,6.193,92.6,1.7912,24,15.17,13.8
13.3598,5.887,94.7,1.7821,24,16.35,12.7
8.71675,6.471,98.8,1.7257,24,17.12,13.1
5.87205,6.405,96,1.6768,24,19.37,12.5
7.67202,5.747,98.9,1.6334,24,19.92,8.5
38.3518,5.453,100,1.4896,24,30.59,5
9.91655,5.852,77.8,1.5004,24,29.97,6.3
25.0461,5.987,100,1.5888,24,26.77,5.6
14.2362,6.343,100,1.5741,24,20.32,7.2
9.59571,6.404,100,1.639,24,20.31,12.1
24.8017,5.349,96,1.7028,24,19.77,8.3
41.5292,5.531,85.4,1.6074,24,27.38,8.5
67.9208,5.683,100,1.4254,24,22.98,5
20.7162,4.138,100,1.1781,24,23.34,11.9
11.9511,5.608,100,1.2852,24,12.13,27.9
7.40389,5.617,97.9,1.4547,24,26.4,17.2
14.4383,6.852,100,1.4655,24,19.78,27.5
51.1358,5.757,100,1.413,24,10.11,15
14.0507,6.657,100,1.5275,24,21.22,17.2
18.811,4.628,100,1.5539,24,34.37,17.9
28.6558,5.155,100,1.5894,24,20.08,16.3
45.7461,4.519,100,1.6582,24,36.98,7
18.0846,6.434,100,1.8347,24,29.05,7.2
10.8342,6.782,90.8,1.8195,24,25.79,7.5
25.9406,5.304,89.1,1.6475,24,26.64,10.4
73.5341,5.957,100,1.8026,24,20.62,8.8
11.8123,6.824,76.5,1.794,24,22.74,8.4
11.0874,6.411,100,1.8589,24,15.02,16.7
7.02259,6.006,95.3,1.8746,24,15.7,14.2
12.0482,5.648,87.6,1.9512,24,14.1,20.8
7.05042,6.103,85.1,2.0218,24,23.29,13.4
8.79212,5.565,70.6,2.0635,24,17.16,11.7
15.8603,5.896,95.4,1.9096,24,24.39,8.3
12.2472,5.837,59.7,1.9976,24,15.69,10.2
37.6619,6.202,78.7,1.8629,24,14.52,10.9
7.36711,6.193,78.1,1.9356,24,21.52,11
9.33889,6.38,95.6,1.9682,24,24.08,9.5
8.49213,6.348,86.1,2.0527,24,17.64,14.5
10.0623,6.833,94.3,2.0882,24,19.69,14.1
6.44405,6.425,74.8,2.2004,24,12.03,16.1
5.58107,6.436,87.9,2.3158,24,16.22,14.3
13.9134,6.208,95,2.2222,24,15.17,11.7
11.1604,6.629,94.6,2.1247,24,23.27,13.4
14.4208,6.461,93.3,2.0026,24,18.05,9.6
15.1772,6.152,100,1.9142,24,26.45,8.7
13.6781,5.935,87.9,1.8206,24,34.02,8.4
9.39063,5.627,93.9,1.8172,24,22.88,12.8
22.0511,5.818,92.4,1.8662,24,22.11,10.5
9.72418,6.406,97.2,2.0651,24,19.52,17.1
5.66637,6.219,100,2.0048,24,16.59,18.4
9.96654,6.485,100,1.9784,24,18.85,15.4
12.8023,5.854,96.6,1.8956,24,23.79,10.8
10.6718,6.459,94.8,1.9879,24,23.98,11.8
6.28807,6.341,96.4,2.072,24,17.79,14.9
9.92485,6.251,96.6,2.198,24,16.44,12.6
9.32909,6.185,98.7,2.2616,24,18.13,14.1
7.52601,6.417,98.3,2.185,24,19.31,13
6.71772,6.749,92.6,2.3236,24,17.44,13.4
5.44114,6.655,98.2,2.3552,24,17.73,15.2
5.09017,6.297,91.8,2.3682,24,17.27,16.1
8.24809,7.393,99.3,2.4527,24,16.74,17.8
9.51363,6.728,94.1,2.4961,24,18.71,14.9
4.75237,6.525,86.5,2.4358,24,18.13,14.1
4.66883,5.976,87.9,2.5806,24,19.01,12.7
8.20058,5.936,80.3,2.7792,24,16.94,13.5
7.75223,6.301,83.7,2.7831,24,16.23,14.9
6.80117,6.081,84.4,2.7175,24,14.7,20
4.81213,6.701,90,2.5975,24,16.42,16.4
3.69311,6.376,88.4,2.5671,24,14.65,17.7
6.65492,6.317,83,2.7344,24,13.99,19.5
5.82115,6.513,89.9,2.8016,24,10.29,20.2
7.83932,6.209,65.4,2.9634,24,13.22,21.4
3.1636,5.759,48.2,3.0665,24,14.13,19.9
3.77498,5.952,84.7,2.8715,24,17.15,19
4.42228,6.003,94.5,2.5403,24,21.32,19.1
15.5757,5.926,71,2.9084,24,18.13,19.1
13.0751,5.713,56.7,2.8237,24,14.76,20.1
4.34879,6.167,84,3.0334,24,16.29,19.9
4.03841,6.229,90.7,3.0993,24,12.87,19.6
3.56868,6.437,75,2.8965,24,14.36,23.2
4.64689,6.98,67.6,2.5329,24,11.66,29.8
8.05579,5.427,95.4,2.4298,24,18.14,13.8
6.39312,6.162,97.4,2.206,24,24.1,13.3
4.87141,6.484,93.6,2.3053,24,18.68,16.7
15.0234,5.304,97.3,2.1007,24,24.91,12
10.233,6.185,96.7,2.1705,24,18.03,14.6
14.3337,6.229,88,1.9512,24,13.11,21.4
5.82401,6.242,64.7,3.4242,24,10.74,23
5.70818,6.75,74.9,3.3317,24,7.74,23.7
5.73116,7.061,77,3.4106,24,7.01,25
2.81838,5.762,40.3,4.0983,24,10.42,21.8
2.37857,5.871,41.9,3.724,24,13.34,20.6
3.67367,6.312,51.9,3.9917,24,10.58,21.2
5.69175,6.114,79.8,3.5459,24,14.98,19.1
4.83567,5.905,53.2,3.1523,24,11.45,20.6
0.15086,5.454,92.7,1.8209,4,18.06,15.2
0.18337,5.414,98.3,1.7554,4,23.97,7
0.20746,5.093,98,1.8226,4,29.68,8.1
0.10574,5.983,98.8,1.8681,4,18.07,13.6
0.11132,5.983,83.5,2.1099,4,13.35,20.1
0.17331,5.707,54,2.3817,6,12.01,21.8
0.27957,5.926,42.6,2.3817,6,13.59,24.5
0.17899,5.67,28.8,2.7986,6,17.6,23.1
0.2896,5.39,72.9,2.7986,6,21.14,19.7
0.26838,5.794,70.6,2.8927,6,14.1,18.3
0.23912,6.019,65.3,2.4091,6,12.92,21.2
0.17783,5.569,73.5,2.3999,6,15.1,17.5
0.22438,6.027,79.7,2.4982,6,14.33,16.8
0.06263,6.593,69.1,2.4786,1,9.67,22.4
0.04527,6.12,76.7,2.2875,1,9.08,20.6
0.06076,6.976,91,2.1675,1,5.64,23.9
0.10959,6.794,89.3,2.3889,1,6.48,22
0.04741,6.03,80.8,2.505,1,7.88,11.9
